Date,Open,High,Low,Close,Volume,30MA,Volatility
2023-07-03,193.64,206.97,103.22,166.5,28506,169.3336666666667,10.887598285975729
2023-07-04,197.6,215.69,105.12,186.54,41489,169.458,11.066626872937734
2023-07-05,167.24,220.98,144.24,178.78,29511,169.65366666666665,11.181066966338552
2023-07-06,190.28,243.86,110.73,169.23,43874,170.03266666666667,10.95799375462666
2023-07-07,184.58,207.69,93.41,153.37,49371,168.9176666666667,10.892554142492312
2023-07-08,137.8,244.01,132.89,164.55,46348,168.83700000000002,10.916410029448071
2023-07-09,109.22,239.95,114.87,169.62,49331,168.66533333333334,10.860241863482289
2023-07-10,165.34,248.58,134.12,161.35,24825,168.773,10.767708798004366
2023-07-11,155.78,218.39,118.63,171.39,21162,169.04866666666666,10.723765979431347
2023-07-12,136.16,210.25,120.03,158.39,15679,168.8683333333333,10.859698695043358
2023-07-13,122.51,212.03,115.05,169.77,37282,169.001,10.84509657196156
2023-07-14,140.65,241.39,107.43,171.12,21964,169.67533333333333,10.295140377979257
2023-07-15,146.89,248.26,144.04,176.93,33073,169.69266666666667,10.30730070465066
2023-07-16,126.92,234.94,130.13,179.81,34510,170.45966666666666,10.170043733447264
2023-07-17,129.18,224.12,137.33,179.2,39987,170.62866666666667,10.27472484180052
2023-07-18,145.77,214.35,143.74,166.96,48022,170.368,10.264965995878981
2023-07-19,186.05,241.68,105.01,168.24,31653,170.04533333333336,10.171102653862183
2023-07-20,158.63,243.61,145.19,184.94,27623,170.82066666666665,10.39550066244953
2023-07-21,128.35,204.61,141.76,164.51,48255,170.915,10.32227646303423
2023-07-22,127.8,210.8,120.37,179.52,35458,170.89166666666668,10.30128719219555
2023-07-23,145.46,241.59,124.07,189.76,13343,171.69933333333333,10.804015515740799
2023-07-24,120.54,242.42,96.9,186.99,45542,172.729,10.737839425007317
2023-07-25,120.14,215.73,135.73,171.97,30443,172.25433333333334,10.431738931090871
2023-07-26,151.4,213.96,100.39,162.2,47964,172.64366666666666,9.790873823611722
2023-07-27,108.72,221.54,122.03,174.89,23005,172.2913333333333,9.499616229393022
2023-07-28,148.36,226.97,97.59,177.37,30002,172.814,9.325988382490351
2023-07-29,136.22,204.78,94.38,171.08,22228,173.00766666666667,9.223690144679495
2023-07-30,170.77,241.85,126.54,163.66,18260,172.15833333333333,8.8526306564902
2023-07-31,174.67,226.74,119.47,168.22,35563,172.18333333333334,8.839984136876613
2023-08-01,169.11,238.75,130.49,153.27,10053,171.33766666666668,9.39696454413224
2023-08-02,168.92,211.54,137.45,161.65,32995,171.176,9.523924719828786
2023-08-03,137.36,248.26,148.96,155.8,42500,170.15133333333333,9.467402780187355
2023-08-04,166.81,237.55,95.04,176.66,22771,170.08066666666667,9.408504565600207
2023-08-05,133.98,217.15,127.87,188.37,35318,170.71866666666665,9.980400701420754
