StudentID,HW1,HW2,Final,Total,Grade
14,100,91,90,93,S
35,82,88,98,92,S
42,96,81,95,92,S
46,84,91,89,89,S
59,84,78,97,89,S
12,99,77,89,89,S
32,100,100,76,88,S
86,100,66,93,88,S
48,90,78,91,88,S
97,97,100,74,87,S
62,100,81,83,87,S
51,100,67,87,86,S
66,92,79,86,86,S
26,83,84,87,86,S
5,87,99,78,86,S
17,85,93,81,85,S
68,79,100,78,84,S
71,80,93,81,84,S
73,88,74,86,84,S
91,84,71,89,84,S
6,86,82,84,84,S
99,87,79,85,84,S
31,97,77,81,84,S
65,83,100,74,83,S
43,86,82,81,83,S
100,100,72,79,83,S
1,100,93,67,82,S
9,90,90,74,82,S
54,100,81,73,82,S
75,95,78,77,82,S
82,92,90,70,81,S
81,76,100,73,81,S
74,100,72,75,81,S
7,89,72,81,81,S
49,68,93,81,81,S
44,73,99,76,81,S
85,91,50,88,80,S
83,96,72,76,80,S
80,100,89,64,80,S
47,81,86,76,80,S
90,80,72,83,80,S
16,86,87,73,80,S
60,71,95,76,80,S
50,87,87,72,80,S
64,100,61,79,80,S
24,92,54,86,80,S
20,79,100,68,79,S
19,100,67,74,79,S
79,76,96,71,79,S
77,96,61,79,79,S
45,84,69,81,79,S
39,100,72,71,79,S
3,91,79,70,78,S
22,88,86,68,78,S
4,71,88,75,78,S
28,88,84,70,78,S
61,100,68,69,77,S
88,81,84,70,77,S
38,80,93,66,77,S
55,100,80,61,76,S
56,79,86,68,76,S
29,82,70,76,76,S
33,78,92,67,76,S
13,99,74,65,76,S
34,84,72,74,76,S
18,75,87,70,76,S
70,100,86,58,76,S
10,85,85,66,76,S
89,61,90,73,75,S
25,80,83,68,75,S
2,94,61,72,75,S
37,81,73,73,75,S
23,100,69,64,75,S
69,94,64,71,75,S
63,88,76,68,75,S
94,94,84,59,74,S
57,98,69,64,74,S
76,97,56,71,74,S
98,81,98,58,74,S
15,91,70,67,74,S
30,88,69,67,73,S
87,90,65,68,73,S
8,84,69,69,73,S
72,99,70,61,73,S
53,100,62,64,73,S
95,84,87,59,73,S
36,66,73,73,72,S
52,99,96,46,72,S
93,80,78,64,72,S
84,82,78,62,71,S
21,78,70,65,70,S
11,77,72,64,70,S
41,74,66,68,69,S
58,71,79,63,69,S
78,92,78,51,68,S
96,89,68,54,67,S
27,96,79,43,66,S
67,92,58,56,66,S
92,85,57,58,65,U
40,89,55,57,65,U
