StudentID,HW1,HW2,Final,Total,Grade
6,82,99,96,94.0,S
19,83,88,96,91.0,S
47,96,86,88,90.0,S
26,88,100,83,89.0,S
45,100,54,100,89.0,S
1,86,95,82,87.0,S
7,95,70,88,86.0,S
46,87,96,80,86.0,S
34,91,99,76,86.0,S
49,82,98,77,84.0,S
38,82,98,78,84.0,S
22,88,93,74,83.0,S
4,100,79,74,82.0,S
29,76,90,81,82.0,S
40,95,85,71,81.0,S
42,98,88,67,80.0,S
36,100,59,80,80.0,S
39,90,73,75,79.0,S
8,78,88,74,79.0,S
32,100,79,65,78.0,S
24,80,81,74,78.0,S
2,89,74,74,78.0,S
12,100,78,64,77.0,S
37,95,100,55,77.0,S
25,87,64,78,77.0,S
35,94,74,68,76.0,S
23,93,74,67,76.0,S
11,96,74,67,76.0,S
31,87,77,69,76.0,S
44,100,100,49,75.0,S
48,90,77,66,75.0,S
16,84,81,65,74.0,S
5,72,87,67,74.0,S
14,79,85,64,73.0,S
13,90,79,61,73.0,S
20,90,91,55,73.0,S
50,91,45,77,73.0,S
41,87,86,56,72.0,S
9,79,83,63,72.0,S
17,90,70,63,72.0,S
15,95,49,67,70.0,S
28,78,79,60,70.0,S
27,84,40,78,70.0,S
18,100,58,61,70.0,S
33,66,92,59,69.0,S
21,81,70,60,68.0,S
43,71,83,55,66.0,S
10,81,52,64,66.0,S
3,69,74,59,66.0,S
30,88,49,52,61.0,U
