OriginCity,OriginLat,OriginLong,DestCity,DestLat,DestLong,Distance,TimeOfFlight,AirFarePrice
City_1,41.02,-90.46,City_2,44.16,-118.8,2334.28,,
City_1,41.02,-90.46,City_3,35.82,-92.06,594.74,,
City_1,41.02,-90.46,City_4,40.22,-107.04,1400.1,,
City_1,41.02,-90.46,City_5,47.86,-99.24,1030.36,,
City_1,41.02,-90.46,City_6,47.93,-105.82,1436.76,0.91,215.0
City_1,41.02,-90.46,City_7,32.51,-85.34,1049.93,,
City_1,41.02,-90.46,City_8,34.14,-97.98,1011.29,1.51,167.0
City_1,41.02,-90.46,City_9,31.03,-112.16,2236.37,,
City_1,41.02,-90.46,City_10,38.82,-92.77,314.06,,
City_1,41.02,-90.46,City_11,30.6,-80.98,1437.88,,
City_1,41.02,-90.46,City_12,39.14,-104.68,1226.33,3.44,722.0
City_1,41.02,-90.46,City_13,42.98,-108.9,1536.09,,
City_1,41.02,-90.46,City_14,35.57,-100.6,1071.37,1.75,273.0
City_1,41.02,-90.46,City_15,43.53,-73.18,1446.07,3.92,339.0
City_2,44.16,-118.8,City_3,35.82,-92.06,2445.75,,
City_2,44.16,-118.8,City_4,40.22,-107.04,1062.01,,
City_2,44.16,-118.8,City_5,47.86,-99.24,1560.86,2.13,794.0
City_2,44.16,-118.8,City_6,47.93,-105.82,1084.23,,
City_2,44.16,-118.8,City_7,32.51,-85.34,3164.79,,
City_2,44.16,-118.8,City_8,34.14,-97.98,2103.75,,
City_2,44.16,-118.8,City_9,31.03,-112.16,1571.46,3.51,675.0
City_2,44.16,-118.8,City_10,38.82,-92.77,2237.44,,
City_2,44.16,-118.8,City_11,30.6,-80.98,3625.4,,
City_2,44.16,-118.8,City_12,39.14,-104.68,1296.88,,
City_2,44.16,-118.8,City_13,42.98,-108.9,807.79,1.86,494.0
City_2,44.16,-118.8,City_14,35.57,-100.6,1817.37,,
City_2,44.16,-118.8,City_15,43.53,-73.18,3611.39,3.61,770.0
City_3,35.82,-92.06,City_4,40.22,-107.04,1398.28,2.78,325.0
City_3,35.82,-92.06,City_5,47.86,-99.24,1463.38,4.67,228.0
City_3,35.82,-92.06,City_6,47.93,-105.82,1758.38,1.18,102.0
City_3,35.82,-92.06,City_7,32.51,-85.34,719.26,,
City_3,35.82,-92.06,City_8,34.14,-97.98,570.67,,
City_3,35.82,-92.06,City_9,31.03,-112.16,1935.89,0.89,72.0
City_3,35.82,-92.06,City_10,38.82,-92.77,339.44,2.13,531.0
City_3,35.82,-92.06,City_11,30.6,-80.98,1181.86,4.67,878.0
City_3,35.82,-92.06,City_12,39.14,-104.68,1171.99,,
City_3,35.82,-92.06,City_13,42.98,-108.9,1647.18,,
City_3,35.82,-92.06,City_14,35.57,-100.6,771.46,,
City_3,35.82,-92.06,City_15,43.53,-73.18,1823.22,3.98,581.0
City_4,40.22,-107.04,City_5,47.86,-99.24,1052.59,,
City_4,40.22,-107.04,City_6,47.93,-105.82,862.8,,
City_4,40.22,-107.04,City_7,32.51,-85.34,2116.45,2.99,913.0
City_4,40.22,-107.04,City_8,34.14,-97.98,1048.42,,
City_4,40.22,-107.04,City_9,31.03,-112.16,1121.24,1.41,560.0
City_4,40.22,-107.04,City_10,38.82,-92.77,1232.52,,
City_4,40.22,-107.04,City_11,30.6,-80.98,2579.98,,
City_4,40.22,-107.04,City_12,39.14,-104.68,234.96,,
City_4,40.22,-107.04,City_13,42.98,-108.9,343.64,2.7,198.0
City_4,40.22,-107.04,City_14,35.57,-100.6,765.55,1.71,422.0
City_4,40.22,-107.04,City_15,43.53,-73.18,2807.87,1.48,878.0
City_5,47.86,-99.24,City_6,47.93,-105.82,490.49,3.24,979.0
City_5,47.86,-99.24,City_7,32.51,-85.34,2068.43,,
City_5,47.86,-99.24,City_8,34.14,-97.98,1529.2,2.36,829.0
City_5,47.86,-99.24,City_9,31.03,-112.16,2168.85,1.74,485.0
City_5,47.86,-99.24,City_10,38.82,-92.77,1132.25,,
City_5,47.86,-99.24,City_11,30.6,-80.98,2468.24,1.74,113.0
City_5,47.86,-99.24,City_12,39.14,-104.68,1063.6,,
City_5,47.86,-99.24,City_13,42.98,-108.9,927.79,2.96,993.0
City_5,47.86,-99.24,City_14,35.57,-100.6,1371.18,0.87,775.0
City_5,47.86,-99.24,City_15,43.53,-73.18,2069.77,4.21,974.0
City_6,47.93,-105.82,City_7,32.51,-85.34,2427.43,1.67,85.0
City_6,47.93,-105.82,City_8,34.14,-97.98,1666.29,3.68,267.0
City_6,47.93,-105.82,City_9,31.03,-112.16,1954.68,4.39,523.0
City_6,47.93,-105.82,City_10,38.82,-92.77,1458.68,,
City_6,47.93,-105.82,City_11,30.6,-80.98,2855.19,,
City_6,47.93,-105.82,City_12,39.14,-104.68,981.68,1.88,915.0
City_6,47.93,-105.82,City_13,42.98,-108.9,600.43,,
City_6,47.93,-105.82,City_14,35.57,-100.6,1440.1,2.33,476.0
City_6,47.93,-105.82,City_15,43.53,-73.18,2560.25,2.39,552.0
City_7,32.51,-85.34,City_8,34.14,-97.98,1187.49,4.46,281.0
City_7,32.51,-85.34,City_9,31.03,-112.16,2534.1,,
City_7,32.51,-85.34,City_10,38.82,-92.77,970.29,,
City_7,32.51,-85.34,City_11,30.6,-80.98,464.46,,
City_7,32.51,-85.34,City_12,39.14,-104.68,1888.16,4.19,863.0
City_7,32.51,-85.34,City_13,42.98,-108.9,2364.39,,
City_7,32.51,-85.34,City_14,35.57,-100.6,1445.0,,
City_7,32.51,-85.34,City_15,43.53,-73.18,1620.07,1.79,488.0
City_8,34.14,-97.98,City_9,31.03,-112.16,1371.52,,
City_8,34.14,-97.98,City_10,38.82,-92.77,698.15,4.68,349.0
City_8,34.14,-97.98,City_11,30.6,-80.98,1642.2,,
City_8,34.14,-97.98,City_12,39.14,-104.68,815.91,,
City_8,34.14,-97.98,City_13,42.98,-108.9,1364.36,1.76,210.0
City_8,34.14,-97.98,City_14,35.57,-100.6,287.1,3.39,309.0
City_8,34.14,-97.98,City_15,43.53,-73.18,2375.99,,
City_9,31.03,-112.16,City_10,38.82,-92.77,1963.06,,
City_9,31.03,-112.16,City_11,30.6,-80.98,2968.12,,
City_9,31.03,-112.16,City_12,39.14,-104.68,1128.86,4.84,910.0
City_9,31.03,-112.16,City_13,42.98,-108.9,1359.64,,
City_9,31.03,-112.16,City_14,35.57,-100.6,1185.97,,
City_9,31.03,-112.16,City_15,43.53,-73.18,3677.48,,
City_10,38.82,-92.77,City_11,30.6,-80.98,1410.91,1.13,626.0
City_10,38.82,-92.77,City_12,39.14,-104.68,1029.37,3.84,566.0
City_10,38.82,-92.77,City_13,42.98,-108.9,1429.68,,
City_10,38.82,-92.77,City_14,35.57,-100.6,781.65,2.65,455.0
City_10,38.82,-92.77,City_15,43.53,-73.18,1716.46,,
City_11,30.6,-80.98,City_12,39.14,-104.68,2352.3,,
City_11,30.6,-80.98,City_13,42.98,-108.9,2822.64,2.66,119.0
City_11,30.6,-80.98,City_14,35.57,-100.6,1905.81,4.48,269.0
City_11,30.6,-80.98,City_15,43.53,-73.18,1593.83,1.46,505.0
City_12,39.14,-104.68,City_13,42.98,-108.9,554.37,1.33,331.0
City_12,39.14,-104.68,City_14,35.57,-100.6,536.19,3.28,712.0
City_12,39.14,-104.68,City_15,43.53,-73.18,2658.38,,
City_13,42.98,-108.9,City_14,35.57,-100.6,1089.42,3.28,949.0
City_13,42.98,-108.9,City_15,43.53,-73.18,2870.97,,
City_14,35.57,-100.6,City_15,43.53,-73.18,2498.02,,
