StudentID,HW1,HW2,Final
1,91,73,73
2,95,81,77
3,80,98,82
4,97,100,75
5,86,74,62
6,74,58,65
7,84,59,72
8,96,100,73
9,93,74,80
10,79,87,51
11,96,100,63
12,89,70,59
13,94,77,81
14,93,71,78
15,78,64,73
16,94,92,78
17,84,96,64
18,100,52,75
19,97,95,71
20,90,76,71
21,80,83,69
22,91,83,80
23,92,60,81
24,78,75,56
25,100,65,65
26,94,100,71
27,100,100,76
28,79,81,54
29,100,62,61
30,76,97,67
31,83,77,87
32,95,100,61
33,90,100,66
34,66,100,70
35,79,74,69
36,98,65,72
37,100,70,70
38,99,79,68
39,87,66,73
40,98,98,73
41,79,90,74
42,95,79,74
43,77,74,59
44,90,90,72
45,89,100,72
46,98,51,78
47,87,84,77
48,100,75,85
49,88,69,62
50,98,75,69
51,98,82,72
52,72,100,64
53,90,81,67
54,90,74,66
55,82,62,65
56,92,92,93
57,75,69,69
58,96,78,85
59,95,91,62
60,93,81,73
61,100,74,64
62,94,77,74
63,91,93,87
64,83,80,89
65,93,84,78
66,80,86,75
67,100,75,70
68,84,85,74
69,92,76,84
70,100,97,54
71,100,88,67
72,92,54,61
73,100,77,80
74,89,97,58
75,98,77,79
76,90,74,59
77,81,95,60
78,94,64,85
79,99,81,80
80,87,89,61
81,79,93,53
82,85,64,61
83,66,61,76
84,84,100,70
85,79,68,61
86,100,79,76
87,84,100,84
88,75,73,59
89,99,47,69
90,88,100,62
91,90,95,81
92,92,85,71
93,92,100,64
94,86,79,54
95,100,100,77
96,95,80,67
97,85,76,72
98,88,89,68
99,81,93,74
100,93,99,53
101,97,98,62
102,97,73,74
103,96,79,88
104,89,100,73
105,100,89,70
106,88,81,64
107,90,100,64
108,87,100,68
109,91,99,62
110,88,72,71
111,100,74,70
112,94,91,90
113,73,98,69
114,86,62,81
115,76,73,66
116,99,77,80
117,100,95,94
118,85,64,65
119,96,100,59
120,88,81,81
121,94,89,71
122,100,100,68
123,87,89,75
124,78,91,73
125,97,77,83
126,95,87,75
127,97,64,65
128,100,79,59
129,83,81,53
130,70,65,60
131,100,95,81
132,86,87,56
133,78,52,71
134,78,92,83
135,100,66,76
136,92,89,86
137,93,68,78
138,99,75,86
139,83,86,65
140,79,100,62
141,81,57,90
142,79,75,74
143,87,75,71
144,81,97,65
145,90,76,86
146,85,86,75
147,89,100,75
148,96,92,64
149,100,74,71
150,100,74,66
151,91,76,69
152,92,82,74
153,85,67,65
154,100,79,62
155,100,89,78
156,84,73,60
157,98,73,84
158,87,84,86
159,88,92,57
160,92,60,86
161,86,65,62
162,99,99,83
163,75,80,65
164,83,64,78
165,89,82,60
166,80,100,77
167,94,71,71
168,75,66,86
169,91,76,78
170,76,100,61
171,89,70,74
172,95,88,64
173,100,95,72
174,100,89,86
175,100,75,86
176,91,90,72
177,100,83,62
178,88,92,71
179,87,86,91
180,77,82,69
181,92,54,56
182,100,90,57
183,84,78,59
184,86,49,81
185,85,79,67
186,87,84,63
187,84,78,74
188,76,43,80
189,100,69,69
190,70,66,62
191,81,75,72
192,93,46,78
193,100,84,54
194,88,88,56
195,87,89,90
196,90,79,75
197,87,79,74
198,99,95,57
199,85,87,61
200,80,74,68
