transaction_id,date,time,royalty_number,drink_type,unit_price,unit_sold,total_sale
1,2023-08-10,11:39,7484,Iced Coffee,70,1,70
2,2023-07-16,13:25,1325,Iced Coffee,70,4,280
3,2023-09-11,12:15,9330,Iced Coffee,70,1,70
4,2023-07-23,13:18, ,Cappuccino,60,1,60
5,2023-08-13,14:29,6208,Cappuccino,60,1,60
5,2023-08-13,14:29,6208,Tea,40,1,40
5,2023-08-13,14:29,6208,Latte,60,1,60
5,2023-08-13,14:29,6208,Mocha,60,2,120
6,2023-09-21,08:05,6187,Espresso,40,1,40
7,2023-09-14,15:33,9158,Espresso,40,1,40
7,2023-09-14,15:33,9158,Tea,40,1,40
8,2023-07-08,14:07,1847,Latte,60,3,180
9,2023-08-04,08:49, ,Mocha,60,1,60
9,2023-08-04,08:49, ,Latte,60,1,60
9,2023-08-04,08:49, ,Cappuccino,60,1,60
9,2023-08-04,08:49, ,Iced Coffee,70,1,70
10,2023-08-19,10:29,1867,Cappuccino,60,1,60
11,2023-09-14,12:26,6921,Tea,40,1,40
11,2023-09-14,12:26,6921,Mocha,60,1,60
11,2023-09-14,12:26,6921,Latte,60,4,240
11,2023-09-14,12:26,6921,Cappuccino,60,1,60
11,2023-09-14,12:26,6921,Espresso,40,1,40
12,2023-09-24,08:06,8354,Mocha,60,1,60
13,2023-08-17,14:24,2860,Tea,40,1,40
14,2023-09-02,14:43, ,Tea,40,1,40
15,2023-08-01,17:21,7887,Espresso,40,1,40
15,2023-08-01,17:21,7887,Tea,40,1,40
15,2023-08-01,17:21,7887,Latte,60,2,120
16,2023-09-29,09:21, ,Latte,60,1,60
17,2023-07-21,17:36,4037,Tea,40,1,40
17,2023-07-21,17:36,4037,Espresso,40,1,40
17,2023-07-21,17:36,4037,Cappuccino,60,1,60
17,2023-07-21,17:36,4037,Iced Coffee,70,1,70
17,2023-07-21,17:36,4037,Latte,60,1,60
18,2023-08-07,17:40, ,Mocha,60,2,120
19,2023-08-09,11:04,7905,Cappuccino,60,1,60
20,2023-09-06,14:34,9864,Cappuccino,60,3,180
21,2023-07-05,12:39,6320,Cappuccino,60,1,60
21,2023-07-05,12:39,6320,Iced Coffee,70,1,70
21,2023-07-05,12:39,6320,Espresso,40,1,40
21,2023-07-05,12:39,6320,Tea,40,1,40
22,2023-08-12,13:01,7143,Cappuccino,60,1,60
23,2023-08-21,11:45, ,Iced Coffee,70,3,210
24,2023-08-08,15:36,4881,Mocha,60,3,180
24,2023-08-08,15:36,4881,Cappuccino,60,1,60
24,2023-08-08,15:36,4881,Espresso,40,1,40
24,2023-08-08,15:36,4881,Latte,60,1,60
24,2023-08-08,15:36,4881,Iced Coffee,70,1,70
25,2023-08-03,13:17, ,Tea,40,1,40
26,2023-08-28,10:28,9698,Espresso,40,1,40
27,2023-09-06,11:42,1544,Latte,60,2,120
28,2023-09-08,14:10,8014,Mocha,60,1,60
29,2023-09-27,09:02,6289,Espresso,40,1,40
30,2023-09-07,17:38, ,Espresso,40,1,40
31,2023-08-16,08:21, ,Espresso,40,1,40
32,2023-09-09,11:53,7081,Iced Coffee,70,1,70
33,2023-09-22,10:58,1905,Espresso,40,1,40
34,2023-08-01,16:11,8295,Espresso,40,1,40
35,2023-09-05,17:58,8129,Espresso,40,3,120
36,2023-09-19,15:27, ,Tea,40,1,40
37,2023-08-22,11:16,6079,Mocha,60,1,60
38,2023-09-15,12:47,9443,Espresso,40,1,40
39,2023-08-20,14:34, ,Espresso,40,1,40
40,2023-07-05,15:41,4744,Cappuccino,60,1,60
41,2023-09-29,11:33,9898,Mocha,60,1,60
41,2023-09-29,11:33,9898,Latte,60,1,60
41,2023-09-29,11:33,9898,Espresso,40,1,40
41,2023-09-29,11:33,9898,Cappuccino,60,1,60
41,2023-09-29,11:33,9898,Iced Coffee,70,1,70
42,2023-09-02,09:25,7429,Mocha,60,1,60
43,2023-09-18,17:59, ,Tea,40,1,40
44,2023-08-19,08:08,5724,Espresso,40,1,40
45,2023-08-09,08:10,2414,Iced Coffee,70,1,70
46,2023-08-16,16:37,4106,Iced Coffee,70,1,70
47,2023-07-09,11:53,8530,Cappuccino,60,1,60
47,2023-07-09,11:53,8530,Iced Coffee,70,4,280
47,2023-07-09,11:53,8530,Espresso,40,1,40
47,2023-07-09,11:53,8530,Tea,40,1,40
48,2023-08-20,16:46, ,Mocha,60,1,60
49,2023-07-16,11:14,9067,Mocha,60,1,60
49,2023-07-16,11:14,9067,Cappuccino,60,1,60
49,2023-07-16,11:14,9067,Tea,40,1,40
50,2023-07-09,14:49,6028,Cappuccino,60,1,60
51,2023-07-18,14:33, ,Cappuccino,60,3,180
51,2023-07-18,14:33, ,Tea,40,1,40
51,2023-07-18,14:33, ,Mocha,60,1,60
52,2023-07-23,10:31,6995,Mocha,60,1,60
53,2023-09-12,09:29,1906,Espresso,40,1,40
53,2023-09-12,09:29,1906,Latte,60,1,60
53,2023-09-12,09:29,1906,Iced Coffee,70,1,70
53,2023-09-12,09:29,1906,Tea,40,1,40
54,2023-08-27,10:54,8664,Espresso,40,1,40
54,2023-08-27,10:54,8664,Cappuccino,60,4,240
54,2023-08-27,10:54,8664,Tea,40,3,120
54,2023-08-27,10:54,8664,Latte,60,1,60
54,2023-08-27,10:54,8664,Iced Coffee,70,3,210
55,2023-09-29,14:59,5255,Cappuccino,60,1,60
56,2023-09-01,09:35,7191,Latte,60,1,60
57,2023-09-22,11:45,5385,Espresso,40,1,40
58,2023-08-13,10:31, ,Iced Coffee,70,1,70
59,2023-08-02,11:50,2126,Espresso,40,1,40
60,2023-07-27,11:42, ,Mocha,60,1,60
61,2023-07-09,11:29,6751,Iced Coffee,70,1,70
61,2023-07-09,11:29,6751,Cappuccino,60,1,60
61,2023-07-09,11:29,6751,Tea,40,1,40
61,2023-07-09,11:29,6751,Espresso,40,4,160
62,2023-09-15,08:44,9395,Mocha,60,2,120
63,2023-07-11,13:10,2917,Espresso,40,1,40
63,2023-07-11,13:10,2917,Iced Coffee,70,1,70
63,2023-07-11,13:10,2917,Tea,40,3,120
63,2023-07-11,13:10,2917,Latte,60,1,60
64,2023-08-10,09:18, ,Iced Coffee,70,1,70
65,2023-08-04,09:22, ,Mocha,60,1,60
66,2023-08-30,10:14, ,Latte,60,3,180
66,2023-08-30,10:14, ,Espresso,40,1,40
66,2023-08-30,10:14, ,Tea,40,1,40
66,2023-08-30,10:14, ,Iced Coffee,70,1,70
66,2023-08-30,10:14, ,Mocha,60,1,60
67,2023-07-10,09:44,5977,Espresso,40,1,40
67,2023-07-10,09:44,5977,Tea,40,1,40
67,2023-07-10,09:44,5977,Iced Coffee,70,1,70
67,2023-07-10,09:44,5977,Latte,60,1,60
