transaction_id,date,time,royalty_number,drink_type,unit_price,unit_sold,total_sale
1,2023-08-16,10:26, ,Mocha,60,1,60
2,2023-08-25,08:53,4061,Mocha,60,1,60
3,2023-09-08,13:52,9987,Latte,60,1,60
4,2023-07-02,14:29,8188,Mocha,60,1,60
4,2023-07-02,14:29,8188,Iced Coffee,70,1,70
4,2023-07-02,14:29,8188,Tea,40,1,40
4,2023-07-02,14:29,8188,Latte,60,2,120
4,2023-07-02,14:29,8188,Cappuccino,60,4,240
5,2023-09-26,17:32,6715,Espresso,40,1,40
6,2023-09-11,16:46, ,Iced Coffee,70,1,70
7,2023-08-20,09:04, ,Espresso,40,1,40
8,2023-07-10,16:14,8390,Mocha,60,1,60
8,2023-07-10,16:14,8390,Cappuccino,60,1,60
8,2023-07-10,16:14,8390,Latte,60,1,60
8,2023-07-10,16:14,8390,Iced Coffee,70,1,70
9,2023-08-28,17:44,3501,Cappuccino,60,1,60
10,2023-08-25,12:22, ,Espresso,40,1,40
10,2023-08-25,12:22, ,Iced Coffee,70,1,70
10,2023-08-25,12:22, ,Tea,40,1,40
10,2023-08-25,12:22, ,Latte,60,1,60
10,2023-08-25,12:22, ,Cappuccino,60,1,60
11,2023-08-25,09:04,7389,Latte,60,1,60
12,2023-08-27,10:19, ,Latte,60,1,60
13,2023-08-06,11:33, ,Latte,60,1,60
14,2023-08-20,12:26, ,Cappuccino,60,1,60
15,2023-08-14,09:50, ,Mocha,60,2,120
16,2023-08-08,17:48,5236,Tea,40,2,80
17,2023-08-22,17:58, ,Cappuccino,60,1,60
18,2023-07-04,09:39, ,Mocha,60,1,60
18,2023-07-04,09:39, ,Iced Coffee,70,1,70
18,2023-07-04,09:39, ,Latte,60,1,60
19,2023-07-01,11:14,4454,Cappuccino,60,1,60
20,2023-08-25,15:24, ,Iced Coffee,70,1,70
20,2023-08-25,15:24, ,Espresso,40,1,40
20,2023-08-25,15:24, ,Latte,60,1,60
20,2023-08-25,15:24, ,Cappuccino,60,1,60
21,2023-07-22,15:09,2681,Cappuccino,60,1,60
22,2023-07-22,15:58,7788,Mocha,60,1,60
23,2023-09-12,08:25,7855,Mocha,60,4,240
24,2023-08-08,13:46,9792,Mocha,60,1,60
25,2023-08-26,11:11, ,Iced Coffee,70,1,70
26,2023-09-05,17:40,8289,Iced Coffee,70,1,70
26,2023-09-05,17:40,8289,Tea,40,1,40
27,2023-08-16,09:55,6371,Iced Coffee,70,1,70
28,2023-07-31,13:44,9450,Espresso,40,2,80
29,2023-07-09,12:54,2720,Espresso,40,1,40
30,2023-08-19,17:48, ,Latte,60,1,60
31,2023-09-05,13:52,6255,Cappuccino,60,1,60
32,2023-08-28,11:32,1086,Iced Coffee,70,4,280
33,2023-09-26,08:03,6064,Tea,40,1,40
33,2023-09-26,08:03,6064,Cappuccino,60,1,60
33,2023-09-26,08:03,6064,Mocha,60,1,60
33,2023-09-26,08:03,6064,Iced Coffee,70,1,70
33,2023-09-26,08:03,6064,Latte,60,1,60
34,2023-08-02,12:49,7225,Espresso,40,1,40
35,2023-08-10,09:26,1705,Latte,60,1,60
36,2023-08-12,13:48, ,Latte,60,2,120
37,2023-08-15,08:57,8352,Latte,60,3,180
38,2023-08-03,15:48,2682,Iced Coffee,70,1,70
39,2023-08-02,12:49, ,Iced Coffee,70,2,140
40,2023-07-29,16:40, ,Cappuccino,60,1,60
41,2023-07-04,17:07, ,Mocha,60,1,60
42,2023-09-18,08:32,7402,Espresso,40,1,40
43,2023-08-27,15:27,4953,Mocha,60,2,120
44,2023-08-20,10:01, ,Mocha,60,4,240
45,2023-07-18,11:59,8997,Mocha,60,2,120
46,2023-09-20,08:41, ,Iced Coffee,70,1,70
46,2023-09-20,08:41, ,Mocha,60,1,60
46,2023-09-20,08:41, ,Cappuccino,60,1,60
46,2023-09-20,08:41, ,Latte,60,1,60
46,2023-09-20,08:41, ,Tea,40,1,40
47,2023-09-28,16:37, ,Espresso,40,1,40
48,2023-09-12,08:46,2936,Latte,60,1,60
49,2023-08-29,10:33, ,Cappuccino,60,1,60
49,2023-08-29,10:33, ,Mocha,60,1,60
49,2023-08-29,10:33, ,Latte,60,2,120
50,2023-08-18,13:45, ,Tea,40,1,40
50,2023-08-18,13:45, ,Cappuccino,60,1,60
51,2023-09-15,11:46, ,Espresso,40,1,40
52,2023-07-24,11:35,6722,Mocha,60,1,60
53,2023-07-23,15:46, ,Latte,60,2,120
54,2023-09-06,16:22,7148,Mocha,60,2,120
55,2023-09-01,13:19, ,Cappuccino,60,1,60
56,2023-09-01,17:25, ,Iced Coffee,70,1,70
